"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02617V03175","Type of Journey","UNIT","VALUE"
"TCA01","Passenger Journeys by Rail (Thousand)","2018","2018","-","All journeys","Number","47960"
"TCA01","Passenger Journeys by Rail (Thousand)","2018","2018","01","Mainline and other services","Number","12438"
"TCA01","Passenger Journeys by Rail (Thousand)","2018","2018","02","Dublin suburban services","Number","13299"
"TCA01","Passenger Journeys by Rail (Thousand)","2018","2018","03","DART","Number","20934"
"TCA01","Passenger Journeys by Rail (Thousand)","2018","2018","04","International journeys","Number","1290"
"TCA01","Passenger Journeys by Rail (Thousand)","2019","2019","-","All journeys","Number","50060"
"TCA01","Passenger Journeys by Rail (Thousand)","2019","2019","01","Mainline and other services","Number","13179"
"TCA01","Passenger Journeys by Rail (Thousand)","2019","2019","02","Dublin suburban services","Number","13997"
"TCA01","Passenger Journeys by Rail (Thousand)","2019","2019","03","DART","Number","21560"
"TCA01","Passenger Journeys by Rail (Thousand)","2019","2019","04","International journeys","Number","1324"
"TCA01","Passenger Journeys by Rail (Thousand)","2020","2020","-","All journeys","Number","17930"
"TCA01","Passenger Journeys by Rail (Thousand)","2020","2020","01","Mainline and other services","Number","4667"
"TCA01","Passenger Journeys by Rail (Thousand)","2020","2020","02","Dublin suburban services","Number","4772"
"TCA01","Passenger Journeys by Rail (Thousand)","2020","2020","03","DART","Number","8044"
"TCA01","Passenger Journeys by Rail (Thousand)","2020","2020","04","International journeys","Number","448"
"TCA01","Passenger Journeys by Rail (Thousand)","2021","2021","-","All journeys","Number","17411"
"TCA01","Passenger Journeys by Rail (Thousand)","2021","2021","01","Mainline and other services","Number","5044"
"TCA01","Passenger Journeys by Rail (Thousand)","2021","2021","02","Dublin suburban services","Number","3989"
"TCA01","Passenger Journeys by Rail (Thousand)","2021","2021","03","DART","Number","7845"
"TCA01","Passenger Journeys by Rail (Thousand)","2021","2021","04","International journeys","Number","533"
"TCA01","Passenger Journeys by Rail (Thousand)","2022","2022","-","All journeys","Number","35845"
"TCA01","Passenger Journeys by Rail (Thousand)","2022","2022","01","Mainline and other services","Number","10338"
"TCA01","Passenger Journeys by Rail (Thousand)","2022","2022","02","Dublin suburban services","Number","8740"
"TCA01","Passenger Journeys by Rail (Thousand)","2022","2022","03","DART","Number","15930"
"TCA01","Passenger Journeys by Rail (Thousand)","2022","2022","04","International journeys","Number","836"
